title,box_art_url,release_year,maturity,is_streaming?
House of Cards: Season 5,https://art-s.nflximg.net/8ed4f/f293fc26020b67d3d4a868cd0c306e116228ed4f.jpg,2017,TV-MA,FALSE
The Crown: Season 1,https://art-s.nflximg.net/b84e3/6538f553eface38efd970b67545a15f70c7b84e3.jpg,2016,TV-MA,TRUE
Stranger Things: Season 1,https://art-s.nflximg.net/d7140/f974453cabbe34abcc1720bbb57d4a7c787d7140.jpg,2016,TV-14,TRUE
Orange is the new black: Season 5,https://art-s.nflximg.net/e45c7/015928b566d3bc61a661e2a5f7e45183d2be45c7.jpg,2017,TV-MA,FALSE
Narcos: Season 2,https://art-s.nflximg.net/79b95/e1390f68a2ff787565916b7293e2b3b084879b95.jpg,2016,TV-MA,TRUE
Sense8: Season 2,https://art-s.nflximg.net/d451e/155890fd0bb22ada2c768240e50a03d0563d451e.jpg,2017,TV-MA,TRUE
Luke Cage: Season 1,https://art-s.nflximg.net/c2812/883bbdf445abf9fc49d4526ebb03ab22fdec2812.jpg,2016,TV-MA,TRUE
Jessica Jones: Season 1,https://art-s.nflximg.net/fb45c/5c30a4f1d727e01306e1caae82a5ac73195fb45c.jpg,2016,TV-MA,TRUE
BoJack Horseman: Season 3,https://art-s.nflximg.net/ae30c/09aa3af5d0dea536c773f7dc17019ddafccae30c.jpg,2016,TV-MA,TRUE
Arrested Development: Season 4,https://art-s.nflximg.net/7caad/10c1556c5ae718ee093ce2875d1b225eaab7caad.jpg,2013,TV-14,TRUE
